r,t,f,y,UseByTechnologyAnnual
"Region1","BIODSL_PROD_001","OIL",2022,0
"Region1","BIODSL_PROD_001","OIL",2023,0
"Region1","BIODSL_PROD_001","OIL",2024,0
"Region1","BIODSL_PROD_001","OIL",2025,0
"Region1","BIODSL_PROD_001","OIL",2026,0
"Region1","BIODSL_PROD_001","OIL",2027,0
"Region1","BIODSL_PROD_001","OIL",2028,0
"Region1","BIODSL_PROD_001","OIL",2029,0
"Region1","BIODSL_PROD_001","OIL",2030,0
"Region1","BIODSL_PROD_001","OIL",2031,0
"Region1","BIODSL_PROD_001","OIL",2032,0
"Region1","BIODSL_PROD_001","OIL",2033,0
"Region1","BIODSL_PROD_001","OIL",2034,0
"Region1","BIODSL_PROD_001","OIL",2035,0
"Region1","BIODSL_PROD_001","OTH_EN",2018,0
"Region1","BIODSL_PROD_001","OTH_EN",2019,0
"Region1","BIODSL_PROD_001","OTH_EN",2020,0
"Region1","BIODSL_PROD_001","OTH_EN",2021,0
"Region1","BIODSL_PROD_001","OTH_EN",2022,0
"Region1","BIODSL_PROD_001","OTH_EN",2023,0
"Region1","BIODSL_PROD_001","OTH_EN",2024,0
"Region1","BIODSL_PROD_001","OTH_EN",2025,0
"Region1","BIODSL_PROD_001","OTH_EN",2026,0
"Region1","BIODSL_PROD_001","OTH_EN",2027,0
"Region1","BIODSL_PROD_001","OTH_EN",2028,0
"Region1","BIODSL_PROD_001","OTH_EN",2029,0
"Region1","BIODSL_PROD_001","OTH_EN",2030,0
"Region1","BIODSL_PROD_001","OTH_EN",2031,0
"Region1","BIODSL_PROD_001","OTH_EN",2032,0
"Region1","BIODSL_PROD_001","OTH_EN",2033,0
"Region1","BIODSL_PROD_001","OTH_EN",2034,0
"Region1","BIODSL_PROD_001","OTH_EN",2035,0
"Region1","BIODSL_PROD_001","RE_FUEL",2018,0
"Region1","BIODSL_PROD_001","RE_FUEL",2019,0
"Region1","BIODSL_PROD_001","RE_FUEL",2020,0
"Region1","BIODSL_PROD_001","RE_FUEL",2021,0
"Region1","BIODSL_PROD_001","RE_FUEL",2022,0
"Region1","BIODSL_PROD_001","RE_FUEL",2023,0
"Region1","BIODSL_PROD_001","RE_FUEL",2024,0
"Region1","BIODSL_PROD_001","RE_FUEL",2025,0
"Region1","BIODSL_PROD_001","RE_FUEL",2026,0
"Region1","BIODSL_PROD_001","RE_FUEL",2027,0
"Region1","BIODSL_PROD_001","RE_FUEL",2028,0
"Region1","BIODSL_PROD_001","RE_FUEL",2029,0
"Region1","BIODSL_PROD_001","RE_FUEL",2030,0
"Region1","BIODSL_PROD_001","RE_FUEL",2031,0
"Region1","BIODSL_PROD_001","RE_FUEL",2032,0
"Region1","BIODSL_PROD_001","RE_FUEL",2033,0
"Region1","BIODSL_PROD_001","RE_FUEL",2034,0
"Region1","BIODSL_PROD_001","RE_FUEL",2035,0
"Region1","BIODSL_PROD_001","RES_COOL",2018,0
"Region1","BIODSL_PROD_001","RES_COOL",2019,0
"Region1","BIODSL_PROD_001","RES_COOL",2020,0
"Region1","BIODSL_PROD_001","RES_COOL",2021,0
"Region1","BIODSL_PROD_001","RES_COOL",2022,0
"Region1","BIODSL_PROD_001","RES_COOL",2023,0
"Region1","BIODSL_PROD_001","RES_COOL",2024,0
"Region1","BIODSL_PROD_001","RES_COOL",2025,0
"Region1","BIODSL_PROD_001","RES_COOL",2026,0
"Region1","BIODSL_PROD_001","RES_COOL",2027,0
"Region1","BIODSL_PROD_001","RES_COOL",2028,0
"Region1","BIODSL_PROD_001","RES_COOL",2029,0
"Region1","BIODSL_PROD_001","RES_COOL",2030,0
"Region1","BIODSL_PROD_001","RES_COOL",2031,0
"Region1","BIODSL_PROD_001","RES_COOL",2032,0
"Region1","BIODSL_PROD_001","RES_COOL",2033,0
"Region1","BIODSL_PROD_001","RES_COOL",2034,0
"Region1","BIODSL_PROD_001","RES_COOL",2035,0
"Region1","BIODSL_PROD_001","RES_COOLb",2018,0
"Region1","BIODSL_PROD_001","RES_COOLb",2019,0
"Region1","BIODSL_PROD_001","RES_COOLb",2020,0
"Region1","BIODSL_PROD_001","RES_COOLb",2021,0
"Region1","BIODSL_PROD_001","RES_COOLb",2022,0
"Region1","BIODSL_PROD_001","RES_COOLb",2023,0
"Region1","BIODSL_PROD_001","RES_COOLb",2024,0
"Region1","BIODSL_PROD_001","RES_COOLb",2025,0
"Region1","BIODSL_PROD_001","RES_COOLb",2026,0
"Region1","BIODSL_PROD_001","RES_COOLb",2027,0
"Region1","BIODSL_PROD_001","RES_COOLb",2028,0
"Region1","BIODSL_PROD_001","RES_COOLb",2029,0
"Region1","BIODSL_PROD_001","RES_COOLb",2030,0
"Region1","BIODSL_PROD_001","RES_COOLb",2031,0
"Region1","BIODSL_PROD_001","RES_COOLb",2032,0
"Region1","BIODSL_PROD_001","RES_COOLb",2033,0
"Region1","BIODSL_PROD_001","RES_COOLb",2034,0
"Region1","BIODSL_PROD_001","RES_COOLb",2035,0
"Region1","BIODSL_PROD_001","RES_CWH",2018,0
"Region1","BIODSL_PROD_001","RES_CWH",2019,0
"Region1","BIODSL_PROD_001","RES_CWH",2020,0
"Region1","BIODSL_PROD_001","RES_CWH",2021,0
"Region1","BIODSL_PROD_001","RES_CWH",2022,0
"Region1","BIODSL_PROD_001","RES_CWH",2023,0
"Region1","BIODSL_PROD_001","RES_CWH",2024,0
