r,t,y,TotalCapacityAnnual
"Region1","IMP_DSL",2022,1220.60442470202
"Region1","IMP_DSL",2023,1169.63582177995
"Region1","IMP_DSL",2024,1120.46552383815
"Region1","IMP_DSL",2025,1083.4589288484
"Region1","IMP_DSL",2026,1080.76745690924
"Region1","IMP_DSL",2027,976.245678339357
"Region1","IMP_DSL",2028,929.089311526661
"Region1","IMP_DSL",2029,882.431677813919
"Region1","IMP_DSL",2030,879.363858200701
"Region1","IMP_DSL",2031,884.544217900495
"Region1","IMP_DSL",2032,876.221643896854
"Region1","IMP_DSL",2033,836.751572040514
"Region1","IMP_DSL",2034,836.146683142911
"Region1","IMP_DSL",2035,797.728456560021
"Region1","IMP_GSL",2018,721.556766080468
"Region1","IMP_GSL",2019,710.650108435521
"Region1","IMP_GSL",2020,701.198515231744
"Region1","IMP_GSL",2021,691.019389854296
"Region1","IMP_GSL",2022,680.84026438302
"Region1","IMP_GSL",2023,661.286622279608
"Region1","IMP_GSL",2024,702.328945327088
"Region1","IMP_GSL",2025,709.166470545765
"Region1","IMP_GSL",2026,641.02535042253
"Region1","IMP_GSL",2027,670.411686537179
"Region1","IMP_GSL",2028,496.070276727533
"Region1","IMP_GSL",2029,485.163618982051
"Region1","IMP_GSL",2030,475.712025878809
"Region1","IMP_GSL",2031,465.532900407533
"Region1","IMP_GSL",2032,484.365858826545
"Region1","IMP_GSL",2033,466.644184817835
"Region1","IMP_GSL",2034,446.847690698206
"Region1","IMP_GSL",2035,460.520241489166
"Region1","IMP_KER",2018,157.05140130333
"Region1","IMP_KER",2019,160.344818120612
"Region1","IMP_KER",2020,164.105408565257
"Region1","IMP_KER",2021,168.363564230823
"Region1","IMP_KER",2022,173.151653705571
"Region1","IMP_KER",2023,178.504151487149
"Region1","IMP_KER",2024,184.457774568357
"Region1","IMP_KER",2025,191.05162899318
"Region1","IMP_KER",2026,198.327364428703
"Region1","IMP_KER",2027,206.329340246665
"Region1","IMP_KER",2028,215.104801766617
"Region1","IMP_KER",2029,224.704067779998
"Region1","IMP_KER",2030,235.180730458646
"Region1","IMP_KER",2031,250.479881568757
"Region1","IMP_KER",2032,266.774300317832
"Region1","IMP_KER",2033,284.128733666766
"Region1","IMP_KER",2034,302.612140721872
"Region1","IMP_KER",2035,322.297966748875
"Region1","IMP_LNG",2018,0
"Region1","IMP_LNG",2019,0
"Region1","IMP_LNG",2020,0
"Region1","IMP_LNG",2021,0
"Region1","IMP_LNG",2022,0
"Region1","IMP_LNG",2023,0
